frame,x_center,y_center
741,348,132
742,347,131
743,347,131
744,348,132
745,347,132
746,347,131
747,347,132
748,347,132
749,348,132
750,346,130
751,348,132
752,348,132
753,348,133
754,348,133
755,348,133
756,348,132
757,348,132
758,348,132
759,348,132
760,349,132
761,349,132
762,349,132
763,349,132
764,350,132
765,350,132
766,349,131
767,350,131
768,349,131
769,349,131
770,349,131
771,348,132
772,348,132
773,348,132
774,348,132
775,348,132
776,348,132
777,348,131
778,348,131
779,348,131
780,348,132
781,348,131
782,349,132
783,349,132
784,349,132
785,345,130
786,350,133
787,350,133
788,349,135
789,350,135
790,349,139
791,339,138
792,333,137
793,338,133
794,334,134
795,349,133
796,351,135
797,349,135
798,350,134
799,354,135
800,354,135
801,353,137
802,350,134
803,348,137
804,353,137
805,352,137
806,352,137
807,354,136
808,356,135
809,355,136
810,355,136
811,357,135
812,354,135
813,354,135
814,354,135
815,353,136
816,352,134
817,351,135
818,352,135
819,352,136
820,353,136
821,354,136
822,355,137
823,354,140
824,355,140
825,356,139
826,355,134
827,357,136
828,357,134
829,357,135
830,355,135
831,355,135
832,357,139
833,355,136
834,354,135
835,353,136
836,355,139
837,355,139
838,354,140
839,356,140
840,356,140
841,357,139
842,356,138
843,356,138
844,353,137
845,353,136
846,355,137
847,358,136
848,360,137
849,361,137
850,362,137
851,362,138
852,364,138
853,363,139
854,361,138
855,360,139
856,360,138
857,360,139
858,361,139
859,362,139
860,360,140
861,361,139
862,362,139
863,365,139
864,363,139
865,361,139
866,362,139
867,364,140
868,364,140
869,365,140
870,364,140
871,364,140
872,363,140
873,362,141
874,363,141
875,363,141
876,362,140
877,360,141
878,360,141
879,360,141
880,361,141
881,361,140
882,362,140
883,362,140
884,361,140
885,362,140
886,362,140
887,361,142
888,361,142
889,361,142
890,362,142
891,363,142
892,361,142
893,360,142
894,360,143
895,360,143
896,361,143
897,361,143
898,362,143
899,361,143
900,360,143
901,361,143
902,361,144
903,360,144
904,360,143
905,360,143
906,360,143
907,360,143
908,361,143
909,361,143
910,362,143
911,362,143
912,362,143
913,362,143
914,361,143
915,362,143
916,363,143
917,363,143
918,361,143
919,360,143
920,360,142
921,360,142
922,361,142
923,360,142
924,360,142
925,360,142
926,360,142
927,360,143
928,359,142
929,359,142
930,359,143
931,359,143
932,359,143
933,359,142
934,360,143
935,360,143
936,359,142
937,360,142
938,359,143
939,360,143
940,359,142
941,360,142
942,360,142
943,360,142
944,360,142
945,361,142
946,360,142
947,360,142
948,360,142
949,361,142
950,361,142
951,359,142
952,359,142
953,359,142
954,359,142
955,358,142
956,360,143
957,362,143
958,361,143
959,362,143
960,359,142
961,361,142
962,362,142
963,361,142
964,362,142
965,359,141
966,356,141
967,353,141
968,354,141
969,353,141
970,354,141
971,353,141
972,354,141
973,354,141
974,354,141
975,354,141
976,353,141
977,355,141
978,355,141
979,355,141
980,354,141
981,355,141
982,354,141
983,354,141
984,354,141
985,354,141
986,354,141
987,356,141
988,356,141
989,356,141
990,358,139
991,358,139
992,358,139
993,358,139
994,355,141
995,355,141
996,355,141
997,355,141
998,356,141
999,355,141
1000,358,139
1001,356,141
1002,356,141
1003,356,141
1004,356,141
1005,356,141
1006,356,141
1007,356,141
1008,356,141
1009,356,140
1010,356,140
1011,354,142
1012,355,142
1013,355,142
1014,355,142
1015,357,140
1016,355,142
1017,354,142
1018,354,142
1019,357,140
1020,357,140
1021,357,140
1022,357,141
1023,357,141
1024,358,141
1025,355,142
1026,357,141
1027,355,141
1028,358,140
1029,358,141
1030,360,140
1031,360,140
1032,360,140
1033,360,140
1034,360,140
1035,356,141
1036,360,140
1037,360,140
1038,356,141
1039,357,141
1040,360,140
1041,357,141
1042,357,141
1043,358,141
1044,358,141
1045,359,141
1046,360,140
1047,360,140
1048,360,140
1049,360,140
1050,359,140
1051,357,141
1052,357,142
1053,358,142
1054,358,142
1055,357,142
1056,357,142
1057,357,142
1058,357,142
1059,357,142
1060,358,141
1061,359,141
1062,357,142
1063,358,142
1064,359,141
1065,359,142
1066,359,141
1067,361,141
1068,361,141
1069,360,141
1070,359,141
1071,360,141
1072,359,141
1073,359,143
1074,363,143
1075,363,143
1076,360,141
1077,362,143
1078,361,143
1079,363,143
1080,359,141
1081,359,141
1082,359,141
1083,359,141
1084,360,141
1085,362,139
1086,359,141
1087,361,140
1088,361,140
1089,360,142
1090,362,140
1091,360,142
1092,360,142
1093,360,142
1094,360,142
1095,360,141
1096,360,142
1097,360,142
1098,360,140
1099,360,140
1100,359,140
1101,359,140
1102,358,140
1103,359,140
1104,359,140
1105,359,140
1106,359,142
1107,360,140
1108,359,141
1109,358,141
1110,359,141
1111,361,141
1112,358,141
1113,358,141
1114,359,140
1115,359,140
1116,359,140
1117,360,141
1118,359,140
1119,359,140
1120,360,140
1121,360,140
1122,359,141
1123,360,140
1124,360,140
1125,359,141
1126,359,141
1127,359,141
1128,359,142
1129,359,142
1130,360,142
1131,358,142
1132,359,142
1133,358,142
1134,358,142
1135,358,142
1136,359,142
1137,359,142
1138,360,142
1139,359,142
1140,360,142
1141,359,142
1142,358,143
1143,358,143
1144,358,143
1145,358,142
1146,360,141
1147,360,141
1148,358,142
1149,361,141
1150,361,141
1151,361,141
1152,358,142
1153,358,142
1154,358,142
1155,362,141
1156,360,141
1157,360,141
1158,359,141
1159,359,141
1160,359,141
1161,359,141
1162,359,141
1163,359,141
1164,359,141
1165,359,141
